LaboratoryName,PrimeAddress,City,State,Country,,,,,,,,,,,,,,,,,,
"CHHATTISGARH STATE POWER DISTRIBUTION COMPANY LIMITED, CENTRAL TESTING LABORATORY DIVISION","BHILAI 220 KV SUB-STATION ROAD, BIJALI NAGAR, BHILAI-3",Bhilai,Chhattisgarh,India,,,,,,,,,,,,,,,,,,
CHIEF QUALITY ASSURANCE ESTABLISHMENT (WARSHIP EQUIPMENT),"CQAE(WE), JALAHALLI CAMP ROAD, YESHWANTPUR POST",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
CIMEC INFRALABS PVT. LTD.,"PLOT NO 179/13, ANAND INDUSTRIAL ESTATE, MOHAN NAGAR",Ghaziabad,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
CIPET:CENTRE FOR SKILLING AND TECHNICAL SUPPORT (CSTS),"PLOT NO.J-3/2, MIDC INDUSTRIAL AREA",Aurangabad,Maharashtra,India,,,,,,,,,,,,,,,,,,
CLASSIC INSTRUMENTATION PVT. LTD.,"C-45, SECTOR 65",Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
CLASSIC TESTING & RESEARCH CENTRE PRIVATE LIMITED,"B-17, SECTOR-65",Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
CNLABS TEST SERVICES PRIVATE LIMITED,"UNIT NO. S-01, GROUND FLOOR, EXPLORER INTERNATIONAL TECH PARK, WHITEFIELD",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
COLUMBIA PETROCHEM PVT. LTD. - LIQUID DIELECTRIC TESTING LABORATORY,"SURVEY NO. 144/1/1, PLOT NO. 12-13-14",Silvassa,Dadra and Nagar Haveli,India,,,,,,,,,,,,,,,,,,
COMPLIANCE INTERNATIONAL TELECOM LABORATORIES (A UNIT OF COMPLIANCE INTERNATIONAL PVT. LTD.),"A-55, SECTION-1, 1ST FLOOR, SECTOR-2",Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
CONFORMITY TESTING LABS PVT. LTD.,"WH-52, MAYAPURI INDUSTRIAL AREA PHASE 1",New Delhi,Delhi,India,,,,,,,,,,,,,,,,,,
"CONFORMITY TESTING LABS PVT. LTD., UNIT 2","A-33, MAYAPURI INDUSTRIAL AREA, PHASE 1",New Delhi,Delhi,India,,,,,,,,,,,,,,,,,,
CONTROL POWER RESEARCH LABORATORY LLP,"PLOT NO. 490, SECTOR 37, PACE CITY II",Gurgaon,Haryana,India,,,,,,,,,,,,,,,,,,
CORDS CABLE INDUSTRIES LIMITED (LAB DIVISION),"SP 239, 240, 241, RIICO INDUSTRIAL AREA, KAHARANI",Bhiwadi,Rajasthan,India,,,,,,,,,,,,,,,,,,
COSMIC COMPLIANCE TEST LAB PRIVATE LIMITED,"SY NO.192/1, A-1, MUNIREDDY INDUSTRIAL ESTATE, 3RD PHASE, BOMMASANDRA VILLAGE, ATTIBELE HOBLI, ANEKAL TALUK",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
CQAL LABORATORIES,JC Nagar,Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
"CRITERION NETWORK LABS, CRITERION NETWORKS INDIA PRIVATE LIMITED","UNIT#3 GROUND FLOOR, EXPLORER BUILDING, WHITEFIELD",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
"CRM & ACL LABORATORY, POSCO MAHARASHTRA STEEL PRIVATE LIMITED","PLOT NO. C-1, VILE/BHAGAD MIDC INDUSTRIAL AREA",Raigad,Maharashtra,India,,,,,,,,,,,,,,,,,,
CSA INDIA PVT. LTD.,"UNIT NO. A-3, 3RD FLOOR, TOWER A, EINSTEIN BUILDING, BEARYS GLOBAL RESEARCH TRIANGLE, SY NO. 63/3B, GORVIGERE VILLAGE, BIDARAHALLI HOBLI, WHITEFIELD ASHRAM ROAD, BANGALORE, KARNATAKA",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
"CSIR-BATTERY PERFORMANCE TESTING AND EVALUATION CENTRE (CSIR-BPTEC), CENTRAL ELECTROCHEMICAL RESEARCH INSTITUTE (COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH)","CSIR-CECRICAMPUS, COLLEGE ROAD,KARAIKUDI",Karaikkudi,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
"CSIR-CENTRAL ELECTRONICS ENGINEERING RESEARCH INSTITUTE, JAIPUR CAMPUS","CFC-1, MALVIYA INDUSTRIAL AREA",Jaipur,Rajasthan,India,,,,,,,,,,,,,,,,,,
CSIR-NATIONAL AEROSPACE LABORATORIES (ENVIRONMENTAL TEST FACILITY),"HAL AIRPORT ROAD, KODIHALLI",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
"CTTF LABORATORY, MOTORS DIVISION, BHARAT BIJLEE LIMITED","NO.2, MIDC, THANE BELAPUR ROAD",Navi Mumbai,Maharashtra,India,,,,,,,,,,,,,,,,,,
DAMODAR VALLEY CORPORATION INSULATING OIL TESTING LABORATORY C.T.C. MAITHON,"DVC MAITHON, CSO BUILDING COMPLEX, AREA NO 6",Dhanbad,Jharkhand,India,,,,,,,,,,,,,,,,,,
DANISH POWER LIMITED TRANSFORMER TEST LABORATORY,"07 & 08, DTA PHASE-II, MAHINDRA WORLD CITY, TEHSIL SANGANER",Jaipur,Rajasthan,India,,,,,,,,,,,,,,,,,,
DARSHAN ELECTRICAL TESTING & RESEARCH LABORATORY,"AT.HADALA, RAJKOT-MORBI HIGHWAY",Rajkot,Gujarat,India,,,,,,,,,,,,,,,,,,
DE VOLTRANS PVT LTD,"SURVEY NO. 126/128, WIDC, VILLAGE- HAMRAPUR, TALUKA- WADA",Palghar,Maharashtra,India,,,,,,,,,,,,,,,,,,
DELHI TEST HOUSE,"A-62/3, G T KARNAL ROAD INDUSTRIAL AREA, AZADPUR",Delhi,Delhi,India,,,,,,,,,,,,,,,,,,
DELHI TEST HOUSE,"PLOT 50, PHASE-IV, SECTOR-57, HSIDC INDUSTRIAL AREA",Kundli,Haryana,India,,,,,,,,,,,,,,,,,,
DELTA LABORATORY,"80-B, PREM NAGAR",Indore,Madhya Pradesh,India,,,,,,,,,,,,,,,,,,
DELTAPHI LABS PVT. LTD.,"UNIT 606, MEADOWS, SAHAR PLAZA, ANDHERI  KURLA ROAD",Mumbai,Maharashtra,India,,,,,,,,,,,,,,,,,,
"DEULTI TEST LABORATORY, NIRMAL WIRES PRIVATE LIMITED","ISWARIPUR, P.O. BARUNDA, P.S. Bagnan",Howrah,West Bengal,India,,,,,,,,,,,,,,,,,,
"DEVSYS LAB, DEVSYS EMBEDDED TECHNOLOGIES PVT LTD","51/2, Lakshmi Layout Main Road, Gaverbhavipalya, Chikka begur Industrial Layout",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
"DGA TEST LAB, DELHI METRO RAIL CORPORATION","DCC BUILDING, YAMUNA BANK DEPOT, LAXMI NAGAR",Delhi,Delhi,India,,,,,,,,,,,,,,,,,,
DGVCL HI-TECH LABORATORY,"DAKSHIN GUJARAT VIJ COMPANY LIMITED, NANA VARACHHA ROAD",Surat,Gujarat,India,,,,,,,,,,,,,,,,,,
DICABS ELECTRICAL AND PHYSICAL TEST LABORATORIES FOR CABLES AND CONDUCTORS,"PHASE - II, BLOCK NO. 98/1 P, 198/ P1, VILLAGE VADADALA, JAROD-SAMLAYA ROAD, TAL. SAVLI",Vadodara,Gujarat,India,,,,,,,,,,,,,,,,,,
DL TESTING & CALIBRATION SERVICES LLP,"B-1-11, SCHEME NO. 71, SECTOR A INDUSTRIAL AREA",Indore,Madhya Pradesh,India,,,,,,,,,,,,,,,,,,
DRY TYPE TRANSFORMERS TESTING LABORATORY,"HITACHI ENERGY INDIA LIMITED, 25 & 26 (ALINDRA) MANJUSAR G.I.D.C., SAVLI WORKS",Vadodara,Gujarat,India,,,,,,,,,,,,,,,,,,
EAMP LABORATORIES LLP,"SURVEY NO.102/1/2 NAGAR PARISHAD HOUSE, MAHIM ROAD",Palghar,Maharashtra,India,,,,,,,,,,,,,,,,,,
EAMP Laboratories LLP,"GAT NO. 674/4, BHANUSHALI FARM, NANDORE-PADAGHE ROAD, NANDORE, PALGHAR (EAST)",Palghar,Maharashtra,India,,,,,,,,,,,,,,,,,,
ECE INDUSTRIES LTD (TRANSFORMER DIVISION),DELHI ROAD,Sonipat,Haryana,India,,,,,,,,,,,,,,,,,,
ELCA LABORATORIES,"PLOT NO.-GEN-62,TRANS-THANE-CREEK INDUSTRIAL AREA, MAHAPE MIDC",Navi Mumbai,Maharashtra,India,,,,,,,,,,,,,,,,,,
ELCIA CLUSTER,"S.NO.3 (P) ELCIA COMPLEX,  ELECTRONIC CITY, WEST PHASE",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
"ELECTRICAL AND ELECTRONICS DIVISION LAB, CIT-HMCL","HEROMOTOCORP GLOBAL CENTRE FOR INNOVATION AND TECHNOLOGY (HGCIT), SPL-1 RIICO INDUSTRIAL AREA, KUKAS PHASE II",Jaipur,Rajasthan,India,,,,,,,,,,,,,,,,,,
ELECTRICAL EQUIPMENT QUALITY ASSURANCE LABORATORY,"CTI ROAD,NAYAGAON,MPPKVVCL",Jabalpur,Madhya Pradesh,India,,,,,,,,,,,,,,,,,,
ELECTRICAL POWER RESEARCH LABORATORY,"PLOT NO. 25, AATMIYA BROOKFIELDZ INDUSTRIAL PARK AT UNTIYA (KAJAPUR) VILLAGE, POR VILLAGE",Vadodara,Gujarat,India,,,,,,,,,,,,,,,,,,
"ELECTRICAL QUALITY CONTROL LABORATORY, RSRDC LIMITED","SETU BHAWAN, JHALANA DOONGRI, JAIPUR AGRA BYPASS",Jaipur,Rajasthan,India,,,,,,,,,,,,,,,,,,
ELECTRICAL RESEARCH & TESTING ORGANISATION,"PLOT NO. 747, MANJUSAR VILLAGE, SAVLI VADODARA MAIN ROAD",Vadodara,Gujarat,India,,,,,,,,,,,,,,,,,,
ELECTRICAL RESEARCH AND DEVELOPMENT ASSOCIATION,"ERDA ROAD, GIDC, MAKARPURA",Vadodara,Gujarat,India,,,,,,,,,,,,,,,,,,
ELECTRICAL RESEARCH AND DEVELOPMENT ASSOCIATION,"PLOT NO. D-183/6 TTC INDUSTRIAL AREA, MIDC SHIRWANE",Navi Mumbai,Maharashtra,India,,,,,,,,,,,,,,,,,,
ELECTRICAL RESEARCH AND DEVELOPMENT ASSOCIATION,"SURVEY & PLOT NO. - 333/2 & 17, APIIC, DOWLESWARAM (U) VILLAGE, RAJAMAHENDRAVARAM RURAL MANDAL",Rajamahendravaram,Andhra Pradesh,India,,,,,,,,,,,,,,,,,,
"ELECTRICAL RESEARCH AND DEVELOPMENT ASSOCIATION, ERDA NORTH LABORATORY, GURUGRAM","CBIP CENTRE OF EXCELLENCE GROUND FLOOR, PLOT NO. 21, SECTOR 32",Gurgaon,Haryana,India,,,,,,,,,,,,,,,,,,
ELECTRICAL SAFETY AUDIT LABORATORY (SIMARTECH PROJECTS AND SERVICES LIMITED),"E-278, PSIEC I.T. PARK, SECTOR 75, INDUSTRIAL FOCAL POINT, PHASE 8A",Mohali,Punjab,India,,,,,,,,,,,,,,,,,,
ELECTRICAL STAMPINGS MANUFACTURERS (ELECTRICAL LABORATORY),"B-16A, INDUSTRIAL AREA, SITE NO. 3, MEERUT ROAD",Ghaziabad,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
ELECTRICAL STEEL TESTING LABORATORY,"SURVEY NO. 427 P/3-4 & 431 P/1-2, SARKHEJ BAVLA HIGHWAY, MORAIYA, TALUKA SANAND",Ahmedabad,Gujarat,India,,,,,,,,,,,,,,,,,,
"ELECTRICAL TEST LAB, CG POWER AND INDUSTRIAL SOLUTIONS","D2 MIDC, WALUJ",Aurangabad,Maharashtra,India,,,,,,,,,,,,,,,,,,
"ELECTRICAL TEST LABORATORY, CTR MANUFACTURING INDUSTRIES PRIVATE LIMITED","E-79, MIDC AMBAD",Nashik,Maharashtra,India,,,,,,,,,,,,,,,,,,
ELECTRICAL TESTING AND CALIBRATION LABORATORY,"A-7, PRIME INDUSTRIAL ESTATE, MANJUSAR",Vadodara,Gujarat,India,,,,,,,,,,,,,,,,,,
ELECTRICAL TESTING LABORATORY OF JPM INDUSTRIES LTD.,"KHASRA NO. 39/14, 15/1, 17/1, KHANDSA ROAD, VILLAGE-MOHAMMADPUR JHARSA, POST-KHERKI DHAULA",Gurgaon,Haryana,India,,,,,,,,,,,,,,,,,,
"ELECTRICAL TESTING LABORATORY, BAKRESWAR THERMAL POWER STATION","PO: BKTPP, PS: SADAIPUR",Siuri,West Bengal,India,,,,,,,,,,,,,,,,,,
"ELECTRICAL TESTING LABORATORY, BANDEL THERMAL POWER STATION","WBPDCL, TRIBENI",Hooghly,West Bengal,India,,,,,,,,,,,,,,,,,,
"ELECTRICAL TESTING LABORATORY, GEMINI INSTRATECH LIMITED","B-83,MIDC AMBAD",Nashik,Maharashtra,India,,,,,,,,,,,,,,,,,,
"ELECTRICAL TESTING LABORATORY, JHAJJAR POWER LIMITED","VILLAGE: KHANPUR, TEHSIL: MATENHAIL",Jhajjar,Haryana,India,,,,,,,,,,,,,,,,,,
"ELECTRICAL TESTING LABORATORY, OVERDRIVE ELECTRONICS PVT. LTD.","B-215, PHASE 2, NAGLA, DADRI ROAD",Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
"ELECTRICAL TESTING LABORATORY, RAVIN CABLES LIMITED","ALANDI-MARKAL MAIN ROAD, MARKAL VILLAGE, GAT NO-227/230, TAL. KHED",Pune,Maharashtra,India,,,,,,,,,,,,,,,,,,
ELECTRONIC METER TEST LABORATORY OF UPCL,OFFICE OF THE EXECUTIVE ENGINEER,Dehradun,Uttarakhand,India,,,,,,,,,,,,,,,,,,
"ELECTRONIC SAFETY TEST LABORATORY, EMC DIVISION, SAMEER-CENTRE FOR MICROWAVE RESEARCH","SECTOR-7, RAIN TREE MARG, CBD BELAPUR",Navi Mumbai,Maharashtra,India,,,,,,,,,,,,,,,,,,
ELECTRONICS AND QUALITY DEVELOPMENT CENTRE (EQDC),"B-177/178, G.I.D.C. ELECTRONICS ESTATE, SECTOR 25",Gandhinagar,Gujarat,India,,,,,,,,,,,,,,,,,,
ELECTRONICS REGIONAL TEST LABORATORY (EAST),"BLOCK DN 63, SECTOR V, SALT LAKE",Kolkata,West Bengal,India,,,,,,,,,,,,,,,,,,
ELECTRONICS REGIONAL TEST LABORATORY (NORTH),"S BLOCK, OKHLA PH-II",New Delhi,Delhi,India,,,,,,,,,,,,,,,,,,
ELECTRONICS REGIONAL TEST LABORATORY (WEST),"PLOT NO. F-7 & 8, MIDC AREA, ANDHERI-EAST, GOVERNMENT OF INDIA, MINISTRY OF ELECTRONICS & INFORMATION TECHNOLOGY, STQC DIRECTORATE",Mumbai,Maharashtra,India,,,,,,,,,,,,,,,,,,
"ELECTRONICS TEST & DEVELOPMENT CENTRE, JAIPUR",MALVIYA INDUSTRIAL AREA,Jaipur,Rajasthan,India,,,,,,,,,,,,,,,,,,
ELECTRONICS TEST AND DEVELOPMENT CENTRE,"B-108, INDUSTRIAL AREA, PHASE-8",Mohali,Punjab,India,,,,,,,,,,,,,,,,,,
ELECTRONICS TEST AND DEVELOPMENT CENTRE,"AGRICULTURE COLLEGE CAMPUS, SHIVAJINAGAR",Pune,Maharashtra,India,,,,,,,,,,,,,,,,,,
ELECTRONICS TEST AND DEVELOPMENT CENTRE,"STQC DIRECTORATE, MEITY, KAMALA NAGAR, ECIL POST",Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,
ELECTRONICS TEST AND DEVELOPMENT CENTRE,"100 FEET ROAD, PEENYA INDUSTRIAL ROAD",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
ELECTRONICS TEST AND DEVELOPMENT CENTRE,"DR. VSI ESTATE, THIRUVANMIYUR",Chennai,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
ELENERGY LAB RESEARCH PRIVATE LIMITED,"Ground Floor, No. 135, Road No. 10, KIADB IT Park, Arebinnamangala Village, Jala Hobli",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
ELETTRA TECH LABS PRIVATE LIMITED,"A-38, 2ND CROSS STREET, SIPCOT IT PARK",Chennai,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
"EL-LAB, ELMEASURE INDIA PRIVATE LIMITED","#47P, KIADB HARDWARE PARK,HUVINAYAKANAHALLI, BENGALURU RURAL.",Yelahanka,Karnataka,India,,,,,,,,,,,,,,,,,,
ELMEF TESTING AND CALIBRATION LABORATORIES PVT. LTD.,"RH-8, COUNTYWALK, VILLAGE-JHALARIA",Indore,Madhya Pradesh,India,,,,,,,,,,,,,,,,,,
"EMC AND DURABILITY LAB, HCL TECHNOLOGIES LIMITED","73 - 74, SOUTH PHASE, AMBATTUR INDUSTRIAL ESTATE",Chennai,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
"EMC DIVISION, SAMEER - CENTRE FOR MICROWAVE RESEARCH","SECTOR 7, RAIN TREE MARG",Navi Mumbai,Maharashtra,India,,,,,,,,,,,,,,,,,,
"EMC DIVISION, SAMEER-CENTRE FOR ELECTROMAGNETICS","MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY, GOVERNMENT OF INDIA, 2ND CROSS ROAD, CIT CAMPUS, TARAMANI",Chennai,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
"EMC EMI TESTING LAB, HLL LIFE CARE LIMITED","B 14A, SECTOR 62",Noida,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
EMC TEST CENTER,"BHARAT ELECTRONICS LIMITED, I.E. NACHARAM",Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,
EMC TEST CENTRE,"BHARAT ELECTRONICS LTD, NANDAMBAKKAM",Chennai,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
"EMC TEST CENTRE, QUALITY ASSURANCE DIVISION, BHARAT ELECTRONICS LTD.",JALAHALLI POST,Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
"EMC TEST FACILITY(ETF), BHARAT ELECTRONICS LTD.","SAHIBABAD INDUSTRIAL AREA,SITE -4",Ghaziabad,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
"EMC TEST LABORATORY, DATA PATTERNS (INDIA) LIMITED","PLOT H9, FOURTH MAIN ROAD, SIPCOT IT PARK, OMR, OFF RAJIV GANDHI SALAI, SIRUSERI",Chennai,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
"EMC TEST SERVICES, ASTRA MICROWAVE PRODUCTS LIMITED","PLOT NO 18-21, IMARATH KANCHA, HARDWARE PARK, RAVIRYALA VILLAGE, MAHESHWARAM MANDAL,  HYDERABAD",Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,
EMC TESTING AND COMPLIANCE LLP,"115, PACE CITY 1, SECTOR 37",Gurgaon,Haryana,India,,,,,,,,,,,,,,,,,,
EMI/EMC AND ELECTRICAL SAFETY TEST FACILITY,"201H/202H, 1ST FLOOR, DIAMOND JUBILEE ACADEMIC COMPLEX, IIT",Kanpur,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
EMI/EMC TEST FACILITY,"ELECTRONICS CORPORATION OF INDIA LIMITED, ECIL (POST)",Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,
"EMI/EMC TEST FACILITY, LINKWELL TELESYSTEMS PVT LTD","B-45, ELECTRONIC COMPLEX, KUSHAIGUDA, MEDCHAL MALKAJGIRI",Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,
"EMOBILITY LABORATORY, L&AMP;T TECHNOLOGY SERVICES","EMOBILITY LABORATORY, L&T TECHNOLOGY SERVICES LIMITED, VISTA PIXEL,  GROUND FLOOR, 8/2B AND 8/2C, BELLARY ROAD JAKKURU LAYOUT, JAKKURU, BANGALORE URBAN",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
"ENERGY TESTING LABORATORY, APPLIANCE DIVISION, GODREJ & BOYCE MFG. CO. LTD, MOHALI WORKS","PLOT NO. A-40, PHASE VIII A, SAS NAGAR, INDUSTRIAL AREA, MOHALI, PUNJAB, INDIA",Mohali,Punjab,India,,,,,,,,,,,,,,,,,,
"ENERGY TESTING LABORATORY, GODREJ & BOYCE MANUFACTURING COMPANY LIMITED (APPLIANCE DIVISION)","GAT NO. 600, 601, VILLAGE WING, TAL. KHANDALA, SATARA",Shirwal,Maharashtra,India,,,,,,,,,,,,,,,,,,
ENTEST INDIA LABORATORIES,"COMPLIANCE LAB, INDIQUBE GOLF VIEW HOMES, WARD NO. 73 AIRPORT, NAL WIND TUNNEL ROAD, MURUGESHPALYA",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
ENVIROCHECK,"63/B, 189, 190 & 192 RASTRAGURU AVENUE",24 Parganas (n),West Bengal,India,,,,,,,,,,,,,,,,,,
ENVIRONMENT LABORATORY OF REGENT DEFENCE AND ENGINEERING SYSTEMS LIMITED,"126, K. SATHANOOR ROAD",Thiruchirapalli,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
"ENVIRONMENTAL AND MECHANICAL TEST DIVISION, SOUTHERN ELECTRONICS (BANGALORE) PVT LTD","16A, PEENYA INDUSTRIAL AREA, 1ST PHASE",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
ENVIRONMENTAL DURABILITY TEST LABORATORY,ELECTRONICS CORPORATION OF INDIA LIMITED,Hyderabad,Telangana,India,,,,,,,,,,,,,,,,,,
ENVIRONMENTAL TEST CENTRE (ETC),"BHARAT ELECTRONICS LIMITED, SITE-IV, SAHIBABAD INDUSTRIAL AREA, BHARAT NAGAR POST",Ghaziabad,Uttar Pradesh,India,,,,,,,,,,,,,,,,,,
"ENVIRONMENTAL TEST DEPARTMENT, QUALITY ASSURANCE DIVISION, BHARAT ELECTRONICS LIMITED","BLOCK B, C, E, F & G, JALAHALLI POST",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
"ENVIRONMENTAL TEST FACILITY, SITAR","VIJINAPURA ROAD, DOORVANINAGAR",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
"ENVIRONMENTAL TEST FACILITY, TRIDENT INFOSOL PVT. LTD.","1A, KHUSAL GARDEN ARCADE",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
ENVIRONMENTAL TEST FACILITY/QM DEPT/COMPONENTS SBU,"COMPONENTS SBU, BHARAT ELECTRONICS LIMITED, JALAHALLI P.O.,",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
"ENVIRONMENTAL TEST LAB,AVANTEL LIMITED","PLOT NO. 47/P, APIIC INDUSTRIAL PARK, GAMBHEERAM (V), ANANDAPURAM (M)",Visakhapatnam,Andhra Pradesh,India,,,,,,,,,,,,,,,,,,
ENVIRONMENTAL TEST LABORATORY DATA PATTERNS (INDIA) LIMITED,"PLOT #H9, FOURTH MAIN ROAD, SIPCOT IT PARK, SIRUSERI",Chennai,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
ENVIRONMENTAL TESTING LABORATORY,"LARSEN AND TOUBRO LIMITED, STRATEGIC ELECTRONICS CENTER (SEC),145/2, OLD MADRAS ROAD, C V RAMAN NAGAR",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
"ENVIRONMENTAL TESTING LABORATORY, LARSEN & TOUBRO LIMITED","STRATEGIC SYSTEM COMPLEX, PLOT NO. A-5, 7, 8, 10, 11 TALEGAON MIDC, VILLAGE NAVLAKH UMBRE, TALUKA MAVAL",Pune,Maharashtra,India,,,,,,,,,,,,,,,,,,
ENVISYS TEST LAB,"ENVISYS TECHNOLOGIES PVT LTD, SB-118, 3RD CROSS, 1ST STAGE PEENYA INDUSTRIAL ESTATE",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
ENVITEST LABORATORIES PRIVATE LIMITED,"NO.14-1510, SHAMANNA REDDY LAYOUT",Bengaluru,Karnataka,India,,,,,,,,,,,,,,,,,,
EPSILON ADVANCED MATERIALS PRIVATE LIMITED (QC LAB),"SULTANPUR ROAD, VILLAGE MUSINAYAKANAHALLI, TALUKA SANDUR",Bellary,Karnataka,India,,,,,,,,,,,,,,,,,,
ESAB INDIA LIMITED - WELDING PRODUCT TESTING LABORATORY,"PLOT NO:13,3RD MAIN ROAD, INDUSTRIAL ESTATE, AMBATTUR",Tiruvallur,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
ESENNAR TRANSFORMERS PRIVATE LIMITED (TRANSFORMER TESTING LABORATORY),"PLOT NO 2, PHASE 1, IDA, PASHAMYLARAM",Sangareddy,Telangana,India,,,,,,,,,,,,,,,,,,
ESKAPS (INDIA) PRIVATE LIMITED,"30, JAWAHARLAL NEHRU ROAD, PARK STREET",Kolkata,West Bengal,India,,,,,,,,,,,,,,,,,,
ESYASOFT LANDIS AND GYR TEST LABORATORY,DIAMOND HARBOUR ROAD,Kolkata,West Bengal,India,,,,,,,,,,,,,,,,,,
EVENT ELECTRIC PRIVATE LIMITED(DIVISION- KTEC OIL LABORATORIES),"PLOT NO-727, 1ST FLOOR, PHASE-1, MIE",Bahadurgarh,Haryana,India,,,,,,,,,,,,,,,,,,
EXCEL ELECTRICAL EQUIPMENT LLP - TESTING LABORATORY,"KOONAMTHAI, AMBALAM ROAD, CHANGAMPUZHA NAGAR P.O",Kochi,Kerala,India,,,,,,,,,,,,,,,,,,
EXIDE INDUSTRIES LIMITED (DEPARTMENT OF CHEMICAL & ELECTRICAL LABORATORY),"91, NEW CHORD ROAD, P.O ATHPUR, SHYAMNAGAR",Bhatpara,West Bengal,India,,,,,,,,,,,,,,,,,,
FINE FINISH ANALYTICAL LABORATORY,"PLOT NO 29 & 76, NEW CHEMICAL ZONE",Taloja,Maharashtra,India,,,,,,,,,,,,,,,,,,
FINOLEX J-POWER SYSTEMS LIMITED,"GAT NO.1142 TO 1149, AT-POST-SHIRWAL, KHANDALA",Satara,Maharashtra,India,,,,,,,,,,,,,,,,,,
Fire Test And Research Laboratory,"9TH MILESTONE, SONIPAT - GOHANA ROAD, VILL. & P.O. RATTANGARH, SH-11",Sonipat,Haryana,India,,,,,,,,,,,,,,,,,,
FLUID CONTROL RESEARCH INTITUTE,KANJIKODE WEST,Palakkad,Kerala,India,,,,,,,,,,,,,,,,,,
FOCUS TESTING LABORATORY,"FOCUS LIGHTING AND FIXTURES LTD., SURVEY NO.396/24, PLOT NO.71/72, NEW AHMEDABAD INDUSTRIAL ESTATE",Ahmedabad,Gujarat,India,,,,,,,,,,,,,,,,,,
FORENTEC ENGINEERS PVT LIMITED (DIVISION: TESTING LAB),"4TH & 5TH FLOOR, SKYLINE, KADRU",Ranchi,Jharkhand,India,,,,,,,,,,,,,,,,,,
FRIGOGLASS INDIA PRIVATE LIMITED (LABORATORY DIVISION),"PLOT NO. 26-A, SECTOR 3, IMT MANESAR",Gurgaon,Haryana,India,,,,,,,,,,,,,,,,,,
FUJI ELECTRIC INDIA PRIVATE LIMITED (TESTING LABORATORY),"KUNNAVAKKAM VILLAGE, SH 48, BUILDING NUMBER 3, SAN LOGISTIK PARK, VANDALUR ORAGADAM WALAJABAD HIGHWAY, ORAGADAM",Kanchipuram,Tamil Nadu,India,,,,,,,,,,,,,,,,,,
FUTURE TEK LABORATORY (A DIVISION OF QUADRANT FUTURE TEK LIMITED),"VILLAGE- BASMA, BASMA JHAJJON ROAD",Mohali,Punjab,India,,,,,,,,,,,,,,,,,,
G NINE MODULAR TESTING LABORATORY,"PLOT NO. 11/12, SURVEY NO. 77/2, SATIVALI ROAD",Vasai,Maharashtra,India,,,,,,,,,,,,,,,,,,
